identyfikator;numer;litera;Warunek;negRPplus;pozRPplus;negRPminus;pozRPminus;negNRP;pozNRP;OdpRPplus;OdpRPminus;OdpNRP;wiek;plec;nastroj;SSPP_1;SSPP_2;SSPP_3;SSPP_4;SSPP_5;SSPP_6;SSPP_7;SSPP_8;SSPP_9;SSPP_10;SSPP_11;SSPP_12;SSPP_13;SSPP_14;SSPP_15;SSPP_16;SSPP_17;SSPP_18;SSPP_19;SSPP_20;SSPP_21;SSPP_22;SSPP_23;SSPP_24;SSPP_25;SSPP_26;SSPP_27;SSPP_8_R;SSPP_26_R;KU_1;KU_2;KU_3;KU_4;KU_5;KU_6;KU_7;KU_8;KU_9;KU_10;KU_11;KU_12;KU_13;KU_14;KU_15;KU_16;KU_17;KU_18;KU_19;KU_20;srePromocja;srePrewencja;rozPromPrew;PromocjaKontrola;PromocjaStandardy;PrewencjaStandardy;PrewencjaKontrola;PrewencjaSuma;PromocjaSuma;Sila;RPplusRoz;RPminusRoz;NRPRoz;RIF;bledy;RPbledy;NRPbledy;NASTAWIENIE;KU_1_R;KU_2_R;KU_3_R;KU_6_R;KU_7_R;KU_8_R;KU_11_R;KU_12_R;KU_15_R;KU_16_R;KU_20_R;AF;AS;AS_med;AF_med;KKU_suma;ZOdpRPminus;ZKKU_suma;ZAF;ZAS;warc;inter_SKU_war;inter_SKU_war1
57A;57;A;3;749,8;626,5;793,7142857143;662;927,1666666667;898,4444444444;0,625;0,5;0,3125;24;2;4;4;4;4;4;3;3;5;2;4;3;2;3;5;2;5;5;2;2;3;3;5;3;3;3;2;3;2;4;3;4;3;3;1;2;4;4;4;3;2;3;2;3;1;2;2;2;2;2;2;2,8888888889;3,5454545455;-0,6565656566;13;13;13;26;39;26;26;123,3;131,7142857143;28,7222222222;-0,1875;1;;;1;1;1;2;2;1;1;1;2;3;3;3;3;16;24;1;1;40;0,987185204;-1,5273004576;-1,9848188562;-0,6666520615;1;40
3C;3;C;3;655,8;719,3333333333;596,1428571429;490;749,625;629;0,875;0,125;0,125;44;2;4;3;4;3;4;3;4;4;3;4;3;3;3;3;4;3;4;3;3;3;4;4;3;3;4;4;3;3;3;3;3;2;3;2;1;4;2;4;3;2;3;2;3;1;2;2;2;2;2;2;3,2222222222;3,7272727273;-0,5050505051;13;16;14;27;41;29;22;-63,5333333333;106,1428571429;120,625;0;0;;;;;1;2;3;2;1;3;1;2;3;3;3;3;20;24;1;1;44;-0,6860937168;-1,0447140844;-1,1606221424;-0,6666520615;1
21A;21;A;3;1236,75;516,75;1244,75;641,5;1049,2;828,75;0,625;0,375;0,375;30;2;2;2;4;3;2;3;3;4;5;2;1;2;3;3;4;4;4;4;2;4;3;5;2;2;;;;;;;;;1;;;3;3;4;2;2;4;3;3;3;2;3;2;3;3;3;2;2;2;2;1;2,875;3,3333333333;-0,4583333333;13;;;9;;;;;;;;;720;603,25;220,45;0;0;;;;;1;2;2;1;1;2;2;2;3;2;3;4
4B;4;B;3;813,2;663;979;704,5;860,6;791,5;0,75;0;0,3125;17;2;4;2;5;3;3;4;4;2;2;3;3;4;5;4;3;2;2;1;3;3;3;5;4;3;3;2;4;4;4;2;4;3;4;4;2;4;2;2;2;2;3;4;4;3;3;2;3;2;1;2;3,2222222222;3,1818181818;0,0404040404;11;18;15;20;35;29;22;150,2;274,5;69,1;0,3125;0;;;;;1;1;2;1;1;3;3;2;1;2;3;3;21;24;1;1;45;-1,2438533571;-0,9240674911;-0,9545729639;-0,6666520615;1
1008C;1008;C;3;840,4;728,6666666667;771,4;787;854,8;897,1666666667;0,375;0,125;0;36;2;4;1;2;3;4;;;2;;;4;5;3;4;2;2;3;2;4;4;3;5;3;4;3;3;4;4;3;3;2;3;3;2;4;3;2;4;3;2;1;2;3;1;2;3;4;3;4;2;2;1;2,875;3,7;-0,825;12;;;15;;;;;;;18;111,7333333333;-15,6;-42,3666666667;-0,125;1;;;1;1;2;3;1;1;2;3;2;4;1;2;4;20;26;1;1;46
28C;28;C;3;591,5;457;471,6666666667;517,8;510,2727272727;533;0,75;0,25;0,1875;18;2;5;4;4;4;4;4;3;3;2;3;4;3;3;4;4;3;4;3;4;3;3;4;3;4;3;4;4;3;4;2;3;2;3;2;1;3;3;3;3;4;3;2;3;1;3;2;3;3;3;3;3,6666666667;3,4545454545;0,2121212121;15;18;13;25;38;33;23;134,5;-46,1333333333;-22,7272727273;-0,0625;0;;;;;1;2;3;2;2;2;2;2;3;2;3;2;22;26;1;1;48;-0,1283340765;-0,5621277112;-0,7485237855;-0,2261159039;1
16B;16;B;3;1029,3333333333;648;925,5;1018,6666666667;709,6666666667;877,4285714286;0,375;0,125;0,125;40;1;3;4;4;3;3;3;4;3;2;3;4;3;3;3;3;4;4;3;4;4;4;4;3;4;3;3;3;3;4;3;2;2;2;2;1;3;2;3;3;2;3;1;3;2;3;2;2;3;2;3;3,5555555556;3,2727272727;0,2828282828;14;18;12;24;36;32;25;381,3333333333;-93,1666666667;-167,7619047619;0;0;;;;;1;3;3;3;2;3;2;2;4;2;3;2;25;24;1;1;49;-0,6860937168;-0,4414811179;-0,1303762501;-0,6666520615;1
30C;30;C;3;632;617;601,25;557,3333333333;590,5;605,75;0,625;0,125;0,25;38;4;4;3;5;3;4;2;3;3;3;4;2;3;3;3;4;3;3;2;3;4;3;3;3;3;4;4;3;3;3;3;2;2;2;2;2;2;2;3;2;3;3;2;1;2;2;2;2;2;2;1;3,1111111111;3,4545454545;-0,3434343434;14;14;14;24;38;28;20;15;43,9166666667;-15,25;0,125;2;1;1;1;3;3;3;3;3;2;2;3;3;3;4;25;25;1;1;50;-0,6860937168;-0,3208345246;-0,1303762501;-0,4463839827;1;50;150
35A;35;A;3;1158;524;939,4;684,5;1287,125;926;0,375;0,25;0,3125;21;2;5;4;3;5;3;2;3;3;3;5;4;2;3;4;4;4;4;4;5;5;4;3;4;3;;;;;;;;;3;;;1;2;2;1;3;4;1;3;1;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;3,875;3,3333333333;0,5416666667;18;;;13;;;;;;;;;634;254,9;361,125;0,0625;1;1;1;2;4;3;3;1;4;2;2,5;2,5;2,5;2,5;2,5;24,5;25
25A;25;A;3;750;741,75;1156,3333333333;830,6;896,7;858,25;0,375;0;0,25;22;2;5;4;5;3;5;4;5;4;3;4;2;2;3;3;4;2;3;2;4;5;3;4;3;4;4;3;2;4;3;4;4;3;3;2;3;3;2;4;1;2;4;3;3;2;4;2;1;1;1;2;4,1111111111;3,5454545455;0,5656565657;16;21;14;25;39;37;20;8,25;325,7333333333;38,45;0,25;3;2;1;2;1;2;2;2;3;1;1;2;1;3;3;18;19;1;1;37;-1,2438533571;-1,8892402374;-1,5727204993;-1,7679924555;1;37;111
