identyfikator;numer;litera;Warunek;negRPplus;pozRPplus;negRPminus;pozRPminus;negNRP;pozNRP;OdpRPplus;OdpRPminus;OdpNRP;wiek;plec;nastroj;SSPP_1;SSPP_2;SSPP_3;SSPP_4;SSPP_5;SSPP_6;SSPP_7;SSPP_8;SSPP_9;SSPP_10;SSPP_11;SSPP_12;SSPP_13;SSPP_14;SSPP_15;SSPP_16;SSPP_17;SSPP_18;SSPP_19;SSPP_20;SSPP_21;SSPP_22;SSPP_23;SSPP_24;SSPP_25;SSPP_26;SSPP_27;SSPP_8_R;SSPP_26_R;KU_1;KU_2;KU_3;KU_4;KU_5;KU_6;KU_7;KU_8;KU_9;KU_10;KU_11;KU_12;KU_13;KU_14;KU_15;KU_16;KU_17;KU_18;KU_19;KU_20;srePromocja;srePrewencja;rozPromPrew;PromocjaKontrola;PromocjaStandardy;PrewencjaStandardy;PrewencjaKontrola;PrewencjaSuma;PromocjaSuma;Sila;RPplusRoz;RPminusRoz;NRPRoz;RIF;bledy;RPbledy;NRPbledy;NASTAWIENIE;KU_1_R;KU_2_R;KU_3_R;KU_6_R;KU_7_R;KU_8_R;KU_11_R;KU_12_R;KU_15_R;KU_16_R;KU_20_R;AF;AS;AS_med;AF_med;KKU_suma;ZOdpRPminus;ZKKU_suma;ZAF;ZAS;warc;inter_SKU_war;inter_SKU_war1
9B;9;B;1;558;827,166667;853,888889;683,166667;633,5;651,857143;0,375;0;0,25;24;2;5;5;4;3;5;1;4;4;3;5;1;1;4;4;5;5;5;4;1;4;2;5;4;1;5;5;3;1;3;3;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,7777777778;4,2727272727;-1,4949494949;17;8;15;32;47;25;22;-269,166667;170,722222;-18,357143;0,25;0;;;;;1;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;25;25;1;1;50;-1,2438533571;-0,3208345246;-0,1303762501;-0,4463839827;-1
3D;3;D;1;525,75;542;514,428571;572,75;491,666667;635,875;0,75;0,25;0,625;47;2;4;2;3;3;3;3;3;4;3;3;3;3;3;4;3;4;3;2;3;2;3;4;3;3;4;3;3;3;3;3;2;2;3;1;2;3;2;3;2;2;3;2;2;1;3;2;2;2;2;2;2,7777777778;3,1818181818;-0,404040404;10;15;12;23;35;25;23;-16,25;-58,321429;-144,208333;0,375;0;;;;;1;3;3;2;2;3;2;2;3;2;3;3;22;22;1;1;44;-0,1283340765;-1,0447140844;-0,7485237855;-1,1071882191;-1
1A;1;A;1;774,142857;660,5;794,444444;644;662;700,571429;0,625;0,125;0,1875;22;2;5;4;4;4;4;5;5;5;2;3;4;3;2;4;3;3;5;4;4;4;4;5;4;4;5;5;3;5;4;3;4;2;2;1;1;3;2;3;2;3;3;4;3;3;2;2;2;2;2;2;4,2222222222;4,0909090909;0,1313131313;15;23;12;33;45;38;26;113,642857;150,444444;-38,571429;0,0625;0;;;;;1;1;3;3;2;3;2;2;1;3;3;3;20;25;1;1;45;-0,6860937168;-0,9240674911;-1,1606221424;-0,4463839827;-1
21C;21;C;1;683,5;777,75;791,4;815,5;778;903,333333;1;0,5;0,4375;20;1;4;3;4;5;4;3;3;2;3;4;3;4;3;5;3;3;3;2;3;4;3;3;4;3;3;4;4;3;3;2;4;2;2;2;1;2;2;3;2;3;2;2;2;2;2;2;1;1;2;2;3,3333333333;3,2727272727;0,0606060606;15;15;15;21;36;30;23;-94,25;-24,1;-125,333333;-0,0625;4;;;3;1;1;3;3;3;3;2;3;3;3;3;3;21;25;1;1;46;0,987185204;-0,8034208978;-0,9545729639;-0,4463839827;-1;-46
1D;1;D;1;2457;1130;2364,285714;2396;1604,5;3135;0,375;0,25;0,4375;38;2;4;2;5;4;5;4;2;4;4;5;1;3;2;4;2;4;4;2;4;2;2;4;2;3;4;5;4;3;2;2;1;2;2;1;3;3;2;3;1;3;4;2;2;1;2;4;3;2;2;1;2,8888888889;3,9090909091;-1,0202020202;10;16;15;28;43;26;17;1327;-31,714286;-1530,5;0,1875;2;1;1;1;4;3;3;2;3;2;1;3;3;1;4;24;23;1;1;47;-0,1283340765;-0,6827743045;-0,3364254285;-0,8869201403;-1;-47;47
22A;22;A;1;1761,2;1288,5;1351,25;930,666667;1390,2;1144,25;0,625;0;0,125;24;1;4;2;2;3;5;3;3;4;3;4;2;4;4;3;3;2;5;5;3;4;2;3;2;2;4;4;3;3;3;3;3;2;2;4;2;4;4;1;2;1;3;2;4;4;2;3;1;1;2;2;2,8888888889;4;-1,1111111111;12;14;17;27;44;26;17;472,7;420,583333;245,95;0,125;4;3;1;1;2;3;3;1;1;4;2;3;3;2;3;23;25;1;1;48;-1,2438533571;-0,5621277112;-0,542474607;-0,4463839827;-1;-48;48
48A;48;A;1;627,5;1308,75;603;770,5;719;597,5;0,375;0,25;0,125;20;1;3;4;5;2;3;5;5;5;3;4;5;3;2;5;5;3;3;2;4;5;3;4;3;3;4;3;2;3;3;4;4;2;4;2;2;3;4;4;4;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;4;3,4545454545;0,5454545455;16;20;12;26;38;36;26;-681,25;-167,5;121,5;-0,125;0;;;;;2;1;3;1;2;1;1;2,5;2,5;2,5;2,5;2,5;19,5;25;1;1;44,5;-0,1283340765;-0,9843907878;-1,2636467316;-0,4463839827;-1
8B;8;B;1;719,6;1406,25;1057,375;857,666667;1002;914,571429;0,25;0,375;0,1875;22;1;3;4;4;4;4;4;4;4;3;4;4;3;3;2;2;2;4;4;4;4;4;2;3;4;2;2;2;4;3;4;3;2;3;2;2;3;3;3;1;2;2;4;2;2;3;2;3;2;2;3;3,7777777778;3,2727272727;0,5050505051;14;20;14;22;36;34;22;-686,65;199,708333;87,428571;-0,1875;0;;;1;2;2;3;2;2;2;2;3;1;2;3;2;20;22;1;1;42;0,4294255638;-1,286007271;-1,1606221424;-1,1071882191;-1;-42
5C;5;C;1;763,25;596,5;616;609,5;811;632,666667;0,5;0,5;0,625;17;1;4;5;5;4;4;4;3;3;1;4;4;3;3;4;5;5;5;2;4;4;4;5;5;4;4;3;4;4;5;2;3;2;3;2;4;2;3;4;2;2;4;2;2;2;3;2;3;2;2;3;4,1111111111;3,7272727273;0,3838383838;18;19;14;27;41;37;29;166,75;6,5;178,333333;0,125;0;;;;;2;2;3;2;3;2;1;1;3;2;3;2;23;22;1;1;45;0,987185204;-0,9240674911;-0,542474607;-1,1071882191;-1
16A;16;A;1;783;1016,5;1041;1441,666667;1258;725,25;0,625;0,25;0,4375;20;2;2;3;5;4;4;5;5;4;2;4;5;2;4;4;4;3;4;2;4;4;3;5;5;4;2;4;2;5;4;4;3;2;2;2;3;2;3;3;2;3;4;2;4;1;2;1;2;3;1;1;4,2222222222;3,6363636364;0,5858585859;15;23;14;26;40;38;28;-233,5;-400,666667;532,75;0,1875;0;;;;;2;2;3;3;3;2;2;1;3;3;4;4;25;26;1;1;51;-0,1283340765;-0,2001879313;-0,1303762501;-0,2261159039;-1
62A;62;A;1;869,666667;1088,6;1015,857143;823,5;1021,666667;1225,428571;0,5;0,125;0,3125;20;1;4;3;2;3;4;2;2;1;4;4;1;4;5;3;3;2;2;1;2;4;3;5;2;2;4;4;3;2;2;3;2;2;1;1;3;4;2;3;4;3;3;2;2;1;4;2;1;2;1;4;2,5555555556;3,2727272727;-0,7171717172;13;10;17;19;36;23;16;-218,933333;192,357143;-203,761904;0,1875;2;1;1;1;3;3;4;1;3;2;2;3;1;3;1;26;18;1;2;44;-0,6860937168;-1,0447140844;0,0756729284;-1,9882605343;-1;-44;44
25B;25;B;1;787;785,2;1201,111111;796;713;833;0,5;0;0,3125;23;1;4;4;5;5;3;3;5;4;5;3;5;4;3;2;2;5;4;3;5;3;5;3;3;4;4;4;2;3;1;4;3;4;2;2;4;4;2;1;3;2;2;2;2;1;2;3;2;3;2;3;3,7777777778;3,6363636364;0,1414141414;14;20;13;27;40;34;25;1,8;405,111111;-120;0,3125;0;;;;;1;2;1;3;1;3;4;3;3;3;2;2;26;22;1;2;48;-1,2438533571;-0,5621277112;0,0756729284;-1,1071882191;-1
7B;7;B;1;721,5;1063,333333;1133,25;1319,5;742,5;1268,5;0,5;0;0,125;22;1;4;5;4;3;4;4;4;3;4;3;4;4;3;4;;;4;4;4;4;4;4;4;4;4;4;4;2;3;2;4;4;3;2;3;3;3;2;2;3;3;3;3;3;1;3;3;3;3;2;3;3,875;3,7272727273;0,1477272727;;;19;14;27;41;;;26;-341,833333;-186,25;-526;0,125;0;;;;;1;1;2;3;2;3;3;2;2;2;2;2;26;22;1;2;48;-1,2438533571;-0,5621277112
8A;8;A;1;947,166667;656;1398,545455;789;859,75;1104,2;0,625;0,125;0,3125;25;2;5;3;3;;;4;1;1;4;2;5;3;3;4;2;2;2;4;2;3;4;3;4;4;3;4;5;3;3;4;3;1;1;1;3;2;1;1;3;2;2;3;1;2;2;3;2;3;4;2;2;2,5;3,8181818182;-1,3181818182;;;11;16;26;42;;;21;291,166667;609,545455;-244,45;0,1875;0;;;;;1;4;4;4;4;4;2;2;4;2;3;3;33;25;1;2;58;-0,6860937168;0,6443382217
8D;8;D;1;1003,666667;1096,5;1063,818182;791,5;1367,166667;1641,25;0,875;0,875;0,625;19;2;4;3;4;4;4;2;5;4;1;2;3;2;4;4;4;4;2;2;4;3;3;3;3;3;;;;;;;;;5;;;2;2;2;4;4;2;2;2;4;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;3,5;3;0,5;14;;;12;;;;;;;;;-92,833333;272,318182;-274,083333;-0,25;1;;;;;2;3;3;3;3;3;3;2,5;2,5;2,5;2,5;2,5
13B;13;B;1;1525,2;2532,666667;1843,2;793;1196,75;1268,833333;0,5;0,125;0,25;32;2;3;5;4;4;2;2;4;4;3;2;2;3;2;4;5;5;3;4;4;5;4;5;4;3;4;4;2;2;3;4;3;2;2;3;3;3;2;2;3;3;3;2;3;1;3;2;2;3;3;2;3,7777777778;3,3636363636;0,4141414141;19;15;9;28;37;34;26;-1007,466667;1050,2;-72,083333;0,125;0;;;;;2;2;3;3;2;3;3;2;3;2;3;3;28;25;1;2;53;-0,6860937168;0,0411052552;0,4877712853;-0,4463839827;-1
29B;29;B;1;1335,5;1114;1053,727273;1157;1268,75;1025,8;0,75;0,125;0,375;52;1;3;5;4;3;5;5;4;5;4;3;4;4;4;5;3;3;5;4;3;4;4;4;5;3;4;4;3;2;2;3;4;3;4;1;4;4;3;3;1;3;2;3;3;1;1;2;3;1;3;2;3,5555555556;4,1818181818;-0,6262626263;15;17;16;30;46;32;26;221,5;-103,272727;242,95;0,25;0;;;;;1;1;2;1;1;2;2;3;2;4;3;3;16;28;2;1;44;-0,6860937168;-1,0447140844;-1,9848188562;0,2144202537;-1
14A;14;A;1;553;595,166667;555,428571;523,666667;568;614,571429;0,625;0,375;0,5625;28;1;1;5;5;5;5;4;5;4;1;5;5;4;5;5;5;5;5;4;5;3;4;4;5;5;4;5;1;4;5;5;4;2;2;1;3;4;3;3;1;2;4;2;2;4;4;2;3;2;4;1;4,5555555556;4,5454545455;0,0101010101;18;23;19;31;50;41;34;-42,166667;31,761904;-46,571429;0,1875;0;;;;;1;1;3;3;1;2;2;1;3;1;3;4;19;27;2;1;46;0,4294255638;-0,8034208978;-1,3666713208;-0,0058478251;-1
25C;25;C;1;594,5;767,6;676,727273;531,25;542,666667;725,75;0,375;0,5;0,4375;45;1;4;5;4;4;5;4;3;3;2;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;3;4;4;3;2;3;2;2;3;2;3;2;3;2;2;3;2;3;2;3;2;3;2;3,8888888889;4;-0,1111111111;17;18;18;26;44;35;28;-173,1;145,477273;-183,083333;-0,0625;2;1;;;1;2;3;2;2;3;2;3;3;2;3;3;22;28;2;1;50;0,987185204;-0,3208345246;-0,7485237855;0,2144202537;-1;-50
53A;53;A;1;1252,333333;1521,6;1221,888889;853,5;793,5;1067;0,625;0,625;0,75;22;1;4;3;5;4;4;3;4;3;2;3;4;4;4;4;4;5;4;3;4;4;4;5;3;4;4;4;2;4;4;4;4;2;3;1;4;3;2;3;2;3;2;2;4;1;3;2;3;2;3;2;3,7777777778;3,9090909091;-0,1313131313;15;19;15;28;43;34;28;-269,266667;368,388889;-273,5;0,125;0;;;;;1;1;3;2;2;3;2;3;3;2;3;3;22;28;2;1;50;1,5449448443;-0,3208345246;-0,7485237855;0,2144202537;-1
58A;58;A;1;878,666667;722,666667;1196;1178,2;798,5;703;0,75;0;0,1875;20;2;3;3;4;3;3;4;3;4;4;5;4;3;4;5;4;5;5;1;3;5;5;5;5;2;5;5;3;2;2;3;3;4;4;4;4;2;2;4;3;4;4;1;4;2;4;1;2;3;2;2;3,2222222222;4;-0,7777777778;15;14;15;29;44;29;29;156;17,8;95,5;0,1875;1;;;1;1;2;1;1;3;3;1;1;4;1;4;3;25;27;2;1;52;-1,2438533571;-0,0795413381;-0,1303762501;-0,0058478251;-1;-52
27B;27;B;1;1245;745,333333;889;677;776,25;685,571429;0,375;0,25;0,375;23;1;1;5;4;4;4;4;5;2;1;3;4;3;3;2;3;4;4;3;3;3;3;4;4;3;4;4;1;4;5;5;4;3;3;3;3;4;1;2;3;3;1;2;3;4;4;1;2;3;2;3;3,7777777778;3,4545454545;0,3232323232;15;19;13;25;38;34;27;499,666667;212;90,678571;0,125;0;;;;;1;1;2;2;1;4;3;4;3;1;4;2;25;28;2;1;53;-0,1283340765;0,0411052552;-0,1303762501;0,2144202537;-1
5B;5;B;1;851,8;753,25;667,125;749,666667;746;643,333333;0,5;0;0,3125;39;1;4;;;2;3;3;2;2;3;4;2;4;3;4;3;2;4;4;2;4;2;3;2;3;4;4;4;4;3;2;2;3;2;3;2;3;3;2;2;2;2;3;2;3;4;2;1;2;2;2;1;2,75;3;-0,25;;;15;12;21;33;;;21;98,55;-82,541667;102,666667;0,3125;0;;;;;1;2;3;2;2;3;3;2;3;3;4;4;24;29;2;1;53;-1,2438533571;0,0411052552
7A;7;A;1;712,6;648,333333;874,285714;1056,333333;625;646,666667;0,75;0,125;0,5;23;1;2;4;3;4;4;4;5;2;3;2;5;4;4;2;4;4;3;2;3;3;4;4;3;4;4;2;5;3;3;1;3;3;4;1;3;4;3;4;1;3;2;3;3;2;2;2;4;3;3;2;3,7777777778;3,0909090909;0,6868686869;15;19;14;20;34;34;22;64,266667;-182,047619;-21,666667;0,375;0;;;;;2;2;2;1;1;2;1;3;2;3;3;3;17;29;2;1;46;-0,6860937168;-0,8034208978;-1,7787696777;0,4346883325;-1
36A;36;A;1;1777,666667;988,25;1055,636364;905,5;976,5;1250,8;0,625;0,5;0,625;23;2;5;5;3;4;4;5;5;5;1;5;5;1;2;5;5;5;5;5;5;5;5;4;1;5;5;4;3;5;5;3;2;2;2;2;3;4;3;3;4;3;2;1;3;1;2;1;1;2;2;1;4,8888888889;3,9090909091;0,9797979798;19;25;12;31;43;44;29;789,416667;150,136364;-274,3;0,125;0;;;;;2;3;3;3;1;2;2;3;4;3;4;4;25;28;2;1;53;0,987185204;0,0411052552;-0,1303762501;0,2144202537;-1
22B;22;B;1;810;1263,833333;1385,875;1015;847,5;838,625;0,75;0,125;0,3125;23;2;4;3;4;4;3;5;4;3;1;2;4;3;3;5;4;4;4;4;4;5;4;3;4;4;3;4;2;5;5;4;2;2;2;3;2;2;2;3;1;3;2;2;3;2;1;2;2;2;4;3;4,2222222222;3,2727272727;0,9494949495;16;22;11;25;36;38;30;-453,833333;370,875;8,875;0,1875;0;;;;;2;3;3;3;3;3;2;3;3;4;3;2;25;29;2;1;54;-0,6860937168;0,1617518485;-0,1303762501;0,4346883325;-1
43A;43;A;1;836,75;685;1064,8;727,5;811,4;1367,5;0,625;0,375;0,3125;20;2;5;5;3;4;4;4;5;3;2;2;5;3;2;5;5;5;2;2;5;5;5;3;4;4;3;3;2;4;4;4;2;2;2;4;1;2;4;3;1;3;1;3;3;4;1;1;3;2;2;1;4,5555555556;2,7272727273;1,8282828283;19;22;11;19;30;41;32;151,75;337,3;-556,1;-0,0625;1;;;1;2;3;3;3;3;1;2;4;2;4;4;4;23;33;2;1;56;0,4294255638;0,4030450351;-0,542474607;1,3157606477;-1;-56
10D;10;D;1;747,666667;801;772,9;775,2;758;882,166667;0,875;0,5;0,5625;17;1;4;5;5;4;2;4;5;4;1;3;5;2;1;4;5;5;4;4;5;4;4;3;4;5;3;4;2;5;5;4;2;4;4;4;1;2;2;3;2;4;1;1;4;4;1;1;2;2;4;2;4,6666666667;3,1818181818;1,4848484848;18;24;8;27;35;42;31;-53,333333;-2,3;-124,166667;0,0625;2;;;1;2;3;1;1;3;3;2;4;4;4;4;3;22;37;2;1;59;0,987185204;0,764984815;-0,7485237855;2,1968329629;-1;-59
1C;1;C;1;1025,4;986,666667;773,222222;2192,5;599;1003,428571;0,5;0,25;0,5625;39;1;4;3;4;3;4;3;4;4;2;3;4;3;3;3;3;4;3;2;3;3;3;4;3;2;4;4;4;3;4;2;3;2;2;2;3;3;2;3;3;3;2;1;3;2;2;2;2;3;3;2;3;3,4545454545;-0,4545454545;12;15;13;25;38;27;23;38,733333;-1419,277778;-404,428571;0,3125;3;3;;;1;2;3;3;2;3;2;3;4;3;3;3;26;29;2;2;55;-0,1283340765;0,2823984418;0,0756729284;0,4346883325;-1;-55
12A;12;A;1;1011,5;918,2;964,777778;940,75;1297,333333;957,714286;0;0;0;54;1;4;3;2;4;4;2;2;4;2;4;4;4;4;3;3;3;2;2;2;4;3;4;3;3;4;4;3;3;4;3;2;2;2;3;3;2;2;3;3;3;3;2;2;3;1;3;3;2;3;2;2,8888888889;3,4545454545;-0,5656565657;14;12;16;22;38;26;23;93,3;24,027778;339,619047;0;0;;;;;1;3;3;3;3;3;2;2;3;4;2;3;28;28;2;2;56;-1,2438533571;0,4030450351;0,4877712853;0,2144202537;-1
26C;26;C;1;1001;875;940,555556;852,666667;809,666667;776,714286;1;0,625;0,5625;38;1;4;3;4;4;2;3;4;2;4;3;4;3;4;4;3;4;4;4;3;4;3;3;4;3;3;3;2;3;2;4;2;2;2;3;3;2;3;2;3;3;2;2;3;3;2;2;2;2;3;3;3,3333333333;3,1818181818;0,1515151515;14;16;12;23;35;30;25;126;87,888889;32,952381;-0,0625;0;;;;;1;3;3;3;3;2;3;3;3;3;3;2;28;28;2;2;56;1,5449448443;0,4030450351;0,4877712853;0,2144202537;-1
49A;49;A;1;770,666667;721,166667;636,75;897,4;902;752,375;0,875;0,75;0,375;20;1;4;5;4;4;5;4;4;2;3;5;4;4;4;5;3;3;4;2;4;3;4;5;4;3;4;4;3;4;3;3;2;2;2;3;4;2;2;3;4;3;1;1;4;3;3;2;3;3;3;1;3,7777777778;3,9090909091;-0,1313131313;15;19;18;25;43;34;26;49,5;-260,65;149,625;-0,375;1;1;;;1;3;3;3;3;3;2;4;4;2;3;4;31;33;2;2;64;2,1027044846;1,3682177815;1,1059188207;1,3157606477;-1;-64
3A;3;A;1;985,5;1287,25;741,375;835;698,25;1073,125;0,5;0,25;0,125;25;1;3;4;5;4;4;4;4;4;2;3;4;3;2;4;4;3;3;4;4;4;4;4;3;4;3;4;2;4;4;4;2;2;2;2;2;2;2;2;2;3;2;1;3;2;2;2;3;2;2;2;4;3,5454545455;0,4545454545;16;20;12;27;39;36;26;-301,75;-93,625;-374,875;-0,125;0;;;;;2;3;3;3;3;3;3;3;4;3;3;3;26;29;2;2;55;-0,1283340765;0,2823984418;0,0756729284;0,4346883325;-1
54A;54;A;1;1258,166667;1130;1161,333333;998;1126,5;1212,5;1;0;0,1875;26;2;4;5;4;4;3;3;4;2;2;1;3;3;3;4;5;5;2;3;3;4;4;3;3;3;2;3;1;3;4;5;2;1;2;3;2;2;1;2;1;3;2;2;3;2;3;2;3;4;2;1;3,7777777778;2,6363636364;1,1414141414;18;16;10;19;29;34;28;128,166667;163,333333;-86;0,1875;1;;;1;2;3;4;3;3;4;3;3;3;2;3;4;30;28;2;2;58;-1,2438533571;0,6443382217;0,8998696422;0,2144202537;-1;-58
10C;10;C;1;977;945,666667;1278,625;1057,75;1032;1180,875;0,75;0,25;0,375;38;1;4;;;2;5;3;3;4;4;2;2;5;2;4;5;3;5;4;4;5;5;5;5;5;5;2;3;1;5;4;5;2;1;1;1;4;1;1;1;2;1;2;1;2;4;1;2;4;4;2;2;4,375;3,1818181818;1,1931818182;;;22;11;24;35;;;34;31,333333;220,875;-148,875;0,125;1;;;1;2;3;4;4;4;4;4;3;4;4;3;3;34;30;2;2;64;-0,1283340765;1,3682177815;1,724066356
21B;21;B;1;852,4;731,375;742,4;774;;;1015;0,75;0,375;0,375;23;1;3;5;5;4;3;4;4;3;2;3;4;3;4;4;4;4;3;3;4;3;4;4;5;4;4;4;2;4;4;4;2;1;1;3;3;2;2;2;3;3;2;1;3;3;2;2;4;3;3;2;4;3,5454545455;0,4545454545;16;20;13;26;39;36;29;121,025;-31,6;;;0;0;;;;;2;3;4;4;3;3;3;3;4;3;3;3;32;32;2;2;64;0,4294255638;1,3682177815;1,3119679991
27A;27;A;1;1168;528,333333;604,545455;526,5;711;805,4;0,375;0,375;0,375;23;1;4;5;5;4;4;4;4;4;1;2;5;4;1;5;4;5;2;4;5;5;5;4;5;5;3;2;1;4;5;5;2;1;1;3;3;2;1;3;3;3;2;2;4;3;1;1;4;2;3;2;4,4444444444;3,1818181818;1,2626262626;18;22;11;24;35;40;35;639,666667;78,045455;-94,4;0;2;1;1;2;3;4;4;3;4;2;3;3;4;4;3;31;34;2;2;65;0,4294255638;1,4888643748;1,1059188207;1,5360287265;-1;-65;65
41A;41;A;1;674;642,333333;769,75;883;583,6;928;0,875;0,75;0,3125;25;1;4;3;5;4;2;4;4;4;3;2;3;2;3;5;4;3;4;4;5;5;4;4;3;5;4;4;2;5;3;4;2;2;1;4;4;2;1;2;3;3;2;1;4;3;2;1;4;3;3;4;4,3333333333;3,4545454545;0,8787878788;16;23;9;29;38;39;25;31,666667;-113,25;-344,4;-0,4375;0;;;;;2;3;3;4;3;4;3;3;4;3;4;1;34;32;2;2;66;2,1027044846;1,609510968;1,724066356;1,0954925689;-1
52A;52;A;1;585;632,2;597,7;699,75;589;612,666667;0,5;0;0,0625;22;1;4;4;4;4;2;2;5;2;1;2;4;4;2;4;4;4;2;4;4;4;4;4;2;2;4;2;2;4;5;4;1;1;1;4;3;1;1;1;2;3;2;1;3;4;1;2;4;3;4;2;3,6666666667;2,9090909091;0,7575757576;16;17;10;22;32;33;27;-47,2;-102,05;-23,666667;0,0625;3;1;2;2;4;4;4;4;4;4;3;4;4;3;3;36;35;2;2;71;-1,2438533571;2,2127439345;2,1361647129;1,7562968053;-1;-71;71
44A;44;A;1;535;619,833333;615,272727;588;611,5;711,25;0,875;0;0,3125;21;1;4;5;5;5;4;4;5;2;1;2;5;2;1;5;5;5;2;4;4;5;4;5;5;4;4;1;1;4;5;5;2;1;1;3;3;3;1;2;4;4;2;1;4;4;1;1;4;4;4;2;4,5555555556;2,9090909091;1,6464646465;20;21;9;23;32;41;34;-84,833333;27,272727;-99,75;0,3125;0;;;;;2;3;4;4;2;4;3;3;4;4;4;3;34;38;2;2;72;-1,2438533571;2,3333905278;1,724066356;2,4171010417;-1
32A;32;A;1;1067,5;1380;915,818182;834;598;1021,2;0,625;0;0,25;27;2;5;5;5;4;1;4;5;4;1;1;5;1;1;4;3;4;2;4;5;5;5;4;4;5;4;2;2;5;5;4;2;1;2;4;3;1;2;1;4;4;1;1;4;4;1;2;4;3;4;1;4,5555555556;2,6363636364;1,9191919192;17;24;4;25;29;41;31;-312,5;81,818182;-423,2;0,25;3;1;2;2;3;4;3;4;3;4;4;4;4;3;4;35;39;2;2;74;-1,2438533571;2,5746837144;1,9301155345;2,6373691205;-1;-74;74
17A;17;A;2;607,25;822,5;1859,75;1098,75;1079,0909090909;1843,6;1;0,375;0,6875;22;1;4;4;5;2;4;4;4;4;3;4;2;2;2;4;4;2;4;2;3;2;4;4;2;4;4;4;4;4;3;2;4;3;3;1;4;4;4;2;1;1;3;3;1;1;3;2;1;1;1;2;3,4444444444;3,5454545455;-0,101010101;12;19;12;27;39;31;19;-215,25;761;-764,5090909091;0,3125;1;1;;;1;1;2;2;1;1;3;2;2;2;3;3;17;17;1;1;34;0,4294255638;-2,2511800173;-1,7787696777;-2,2085286131;0;0
3B;3;B;2;1062,75;1027,5;1009,6;1382,6666666667;988,3636363636;1603,2;0,625;0,375;0,3125;20;1;4;5;5;4;5;4;4;5;4;5;3;2;2;4;5;2;5;1;5;5;5;5;5;3;5;2;4;1;2;2;4;4;3;2;2;3;4;3;4;3;2;4;2;1;1;3;2;2;1;3;4;3,8181818182;0,1818181818;19;17;14;28;42;36;23;35,25;-373,0666666667;-614,8363636364;-0,0625;0;;;;;1;1;1;2;2;1;2;3;1;4;2;2;19;21;1;1;40;0,4294255638;-1,5273004576;-1,3666713208;-1,3274562979;0
31A;31;A;2;797,4;1221;833,8333333333;739,5;792,2;840,1666666667;0,75;0,375;0,375;21;1;5;4;5;4;5;4;3;5;4;4;3;3;4;2;2;2;4;2;4;5;4;5;2;3;4;5;5;2;2;1;4;3;4;2;2;4;3;2;3;2;3;1;3;3;4;3;2;2;1;2;3,4444444444;4,1818181818;-0,7373737374;15;16;16;30;46;31;16;-423,6;94,3333333333;-47,9666666667;0;0;;;;;1;1;2;1;1;2;3;2;4;1;2;3;19;23;1;1;42;0,4294255638;-1,286007271;-1,3666713208;-0,8869201403;0
15A;15;A;2;1091,6666666667;1438,5;1713;;;1348,3333333333;1052,25;0,75;0,5;0,4375;24;2;2;3;4;4;3;4;3;4;3;2;2;2;3;4;4;4;5;4;3;4;3;4;3;2;4;3;4;5;3;2;2;2;2;2;3;3;4;3;3;1;3;2;2;3;2;2;2;1;2;4;3,5555555556;3,4545454545;0,101010101;15;17;10;28;38;32;21;-346,8333333333;;;296,0833333333;-0,0625;2;1;1;1;3;3;3;2;1;2;2;3;3;3;1;23;22;1;1;45;0,987185204;-0,9240674911;-0,542474607;-1,1071882191;0
23B;23;B;2;973,4;1056,3333333333;868;920,5;1130,2222222222;957,1428571429;0,5;0,25;0,125;26;1;4;3;5;3;3;3;3;3;5;4;4;3;3;3;4;3;4;4;4;4;4;4;2;4;5;4;4;4;1;2;3;2;2;3;3;4;3;4;3;2;2;2;2;2;4;2;3;1;1;2;3,5555555556;3,8181818182;-0,2626262626;14;18;13;29;42;32;19;-82,9333333333;-52,5;173,0793650794;-0,125;0;;;;;1;2;3;3;1;2;1;3;3;1;3;3;22;23;1;1;45;-0,1283340765;-0,9240674911;-0,7485237855;-0,8869201403;0
2D;2;D;2;637,75;657,5;1003,75;719;585,7777777778;665,7142857143;0,25;0,25;0,25;45;2;4;2;3;3;3;3;4;4;3;3;4;3;3;4;3;4;3;2;3;3;3;4;3;3;3;3;2;3;3;4;3;2;3;2;1;3;2;3;2;2;2;1;2;1;3;2;2;2;2;2;3;3,0909090909;-0,0909090909;11;16;12;22;34;27;25;-19,75;284,75;-79,9365079365;0;0;;;;;1;2;3;2;2;3;2;3;4;2;3;3;21;24;1;1;45;-0,1283340765;-0,9240674911;-0,9545729639;-0,6666520615;0
